units,epoch,train_loss,train_accuracy
1,1000,2.236100286245346,0.1365
2,1000,2.154827892780304,0.21325
3,1000,2.1074784100055695,0.279
4,1000,2.08010371029377,0.31075
5,1000,2.024052232503891,0.43425
6,1000,2.028144657611847,0.417
7,1000,2.0275993794202805,0.4205
8,1000,2.0243178084492683,0.42575
9,1000,2.0252552777528763,0.43975
10,1000,2.028299644589424,0.4055
11,1000,2.0242516100406647,0.43425
12,1000,2.0272276178002357,0.43175
13,1000,2.0263539627194405,0.427
14,1000,2.0269240885972977,0.4255
15,1000,2.0261532217264175,0.448
16,1000,2.027481719851494,0.42825
17,1000,2.026630327105522,0.42475
18,1000,2.026267260313034,0.43675
19,1000,2.029495544731617,0.431
20,1000,2.028257057070732,0.42825
21,1000,2.0293004736304283,0.4425
22,1000,2.0267149060964584,0.432
23,1000,2.025656506419182,0.42875
24,1000,2.026112124323845,0.42425
25,1000,2.024849258363247,0.446
26,1000,2.025633193552494,0.42875
27,1000,2.026015892624855,0.43025
28,1000,2.030942365527153,0.44075
29,1000,2.027814641594887,0.44675
30,1000,2.0277060121297836,0.42975
31,1000,2.026475191116333,0.42875
32,1000,2.026094540953636,0.4225
33,1000,2.0235775113105774,0.43825
34,1000,2.030131034553051,0.42575
35,1000,2.0281262025237083,0.42025
36,1000,2.028376057744026,0.43
37,1000,2.0282766222953796,0.4225
38,1000,2.029290482401848,0.431
39,1000,2.0242759436368942,0.43225
40,1000,2.026800274848938,0.4205
41,1000,2.026442974805832,0.42975
42,1000,2.026538722217083,0.43475
43,1000,2.028116576373577,0.4365
44,1000,2.023032747209072,0.41525
45,1000,2.024324506521225,0.42675
46,1000,2.0267423167824745,0.4265
47,1000,2.026838928461075,0.434
48,1000,2.0273598730564117,0.417
49,1000,2.0287598818540573,0.42075
50,1000,2.0262767374515533,0.425
51,1000,2.026603728532791,0.43225
52,1000,2.025545433163643,0.41875
53,1000,2.028897136449814,0.412
54,1000,2.0304083973169327,0.43525
55,1000,2.0277242213487625,0.428
56,1000,2.025540351867676,0.42125
57,1000,2.0268029049038887,0.42975
58,1000,2.0272364392876625,0.4325
59,1000,2.0257117301225662,0.4315
60,1000,2.0279008746147156,0.43525
61,1000,2.027457647025585,0.435
62,1000,2.0243200808763504,0.44225
63,1000,2.0258391350507736,0.4325
64,1000,2.028374657034874,0.423
65,1000,2.026301756501198,0.43725
66,1000,2.0261448845267296,0.43775
67,1000,2.030213698744774,0.428
68,1000,2.0326675325632095,0.4195
69,1000,2.0279094576835632,0.424
70,1000,2.0276864767074585,0.42
71,1000,2.0240584015846252,0.42475
72,1000,2.0276719108223915,0.4445
73,1000,2.0255296900868416,0.42475
74,1000,2.02558770775795,0.41625
75,1000,2.0276898443698883,0.42125
76,1000,2.028951644897461,0.42775
77,1000,2.0251808911561966,0.42775
78,1000,2.0263626277446747,0.42725
79,1000,2.0270575881004333,0.425
80,1000,2.0311952382326126,0.445
81,1000,2.027955040335655,0.432
82,1000,2.026668891310692,0.4345
83,1000,2.027706928551197,0.4215
84,1000,2.0296442806720734,0.419
85,1000,2.028008721768856,0.41775
86,1000,2.02687731385231,0.441
87,1000,2.029037058353424,0.4425
88,1000,2.025528885424137,0.43575
89,1000,2.0273648649454117,0.4245
90,1000,2.026428423821926,0.418
91,1000,2.0297002121806145,0.4355
92,1000,2.0241973474621773,0.4255
93,1000,2.0288757383823395,0.4325
94,1000,2.0294496566057205,0.4375
95,1000,2.0307955369353294,0.427
96,1000,2.0261050909757614,0.4345
97,1000,2.0260713174939156,0.4295
98,1000,2.02730230987072,0.44275
99,1000,2.0281635224819183,0.427
100,1000,2.02680154889822,0.42075

"La ejecución ha durado 27 hora(s), 22 minuto(s) y 10 segundo(s)."
