units,epoch,train_loss,train_accuracy
1,1000,1.7794980742037296,0.3625
2,1000,1.337581306695938,0.618875
3,1000,1.0503628998994827,0.734125
4,1000,1.033919746056199,0.7295
5,1000,0.8700784370303154,0.7795
6,1000,0.6177260503172874,0.85225
7,1000,0.5499240551143885,0.8615
8,1000,0.5429604724049568,0.871375
9,1000,0.507085544988513,0.873625
10,1000,0.3337042471393943,0.91075
11,1000,0.36906813457608223,0.900625
12,1000,0.25149787683039904,0.93625
13,1000,0.21400828612968326,0.94575
14,1000,0.1745178287383169,0.961
15,1000,0.07719836477190256,0.98425
16,1000,0.0679656199645251,0.989375
17,1000,0.0172784477181267,0.998
18,1000,0.018187638313975185,0.999125
19,1000,0.022058724280213937,0.998
20,1000,0.004827241944440175,1.0
21,1000,0.004482618853216991,0.999875
22,1000,0.0029247881466289982,1.0
23,1000,0.0026894965885730926,1.0
24,1000,0.002382516846409999,1.0
25,1000,0.0014149349553918,1.0
26,1000,0.0022970339232415427,1.0
27,1000,0.0016079853012342937,1.0
28,1000,0.0008601768877269933,1.0
29,1000,0.0010625034155964386,1.0
30,1000,0.000856279426443507,1.0
31,1000,0.000796596033978858,1.0
32,1000,0.0007438846441800706,1.0
33,1000,0.0004699695673480164,1.0
34,1000,0.0007340044448937988,1.0
35,1000,0.0007829444275557762,1.0
36,1000,0.0003784615914810274,1.0
37,1000,0.00038759547896916047,1.0
38,1000,0.0003740969686987228,1.0
39,1000,0.00031914496912577306,1.0
40,1000,0.00020581198054969718,1.0
41,1000,0.0002544203030083736,1.0
42,1000,0.00029060916722301045,1.0
43,1000,0.07060289313085377,0.97425
44,1000,0.00036170921794109745,1.0
45,1000,0.0005567540756601375,1.0
46,1000,0.00020414466462170822,1.0
47,1000,0.00018794691027324006,1.0
48,1000,0.00026399044963909546,1.0
49,1000,0.00017917940135703248,1.0
50,1000,0.00017794057703213184,1.0
51,1000,0.0002896367698212998,1.0
52,1000,0.000182656225433675,1.0
53,1000,0.00019920972749787325,1.0
54,1000,0.00010152895595183509,1.0
55,1000,0.000129410386989548,1.0
56,1000,7.14996491524289e-05,1.0
57,1000,0.00022034571975382278,1.0
58,1000,0.00013794526944366226,1.0
59,1000,0.00010429063399897132,1.0
60,1000,0.0001218056984271243,1.0
61,1000,7.7144706551735e-05,1.0
62,1000,0.00012238400518072012,1.0
63,1000,5.776105274435395e-05,1.0
64,1000,5.922253785684006e-05,1.0
65,1000,0.00010382862296864914,1.0
66,1000,8.022784334116295e-05,1.0
67,1000,0.00017878175390251272,1.0
68,1000,0.00016470596233375545,1.0
69,1000,0.0002464465533194016,1.0
70,1000,8.115982632261876e-05,1.0
71,1000,7.962767824665207e-05,1.0
72,1000,0.0001843342870415654,1.0
73,1000,0.0001006434063128836,1.0
74,1000,5.413346639215888e-05,1.0
75,1000,0.0005629706834042736,1.0
76,1000,4.360215802989842e-05,1.0
77,1000,4.4720156665789546e-05,1.0
78,1000,7.343448464780522e-05,1.0
79,1000,6.230365818282735e-05,1.0
80,1000,6.11549445466153e-05,1.0
81,1000,4.258236180021413e-05,1.0
82,1000,7.080430805217475e-05,1.0
83,1000,8.736316999602423e-05,1.0
84,1000,6.832927113009646e-05,1.0
85,1000,6.082597292333958e-05,1.0
86,1000,0.0001248114119789534,1.0
87,1000,3.623220459303411e-05,1.0
88,1000,8.872555031302909e-05,1.0
89,1000,9.625769052945543e-05,1.0
90,1000,4.029888407330873e-05,1.0
91,1000,4.332995621325608e-05,1.0
92,1000,5.6899073115346255e-05,1.0
93,1000,7.348460815137514e-05,1.0
94,1000,6.763994008451846e-05,1.0
95,1000,5.693630771475e-05,1.0
96,1000,7.792196595346468e-05,1.0
97,1000,0.00011399957520552562,1.0
98,1000,2.312797153081192e-05,1.0
99,1000,0.00013918845729676832,1.0
100,1000,4.131178172883665e-05,1.0
