batch_size,units,epoch,train_loss,train_accuracy
32,1,1000,1.7416116151809693,0.33925
32,2,1000,1.2922448315620423,0.58475
32,3,1000,1.2659618587493897,0.6045
32,4,1000,0.9088601217269897,0.76175
32,5,1000,0.6815827596187591,0.8175
32,6,1000,0.2640677490234375,0.93075
32,7,1000,0.16005965216457843,0.952
32,8,1000,0.06494501677155495,0.97925
32,9,1000,0.1386070279851556,0.96425
32,10,1000,0.06623546412587165,0.97425
32,11,1000,0.017964746927842497,0.99675
32,12,1000,0.015607998492196202,0.99625
32,13,1000,0.0011450632563792169,1.0
32,14,1000,0.000882801620173268,1.0
32,15,1000,0.0010318808463634923,1.0
32,16,1000,0.0006798294557956979,1.0
32,17,1000,0.00019381882023299113,1.0
32,18,1000,0.00043442525470163674,1.0
32,19,1000,0.0002755231499177171,1.0
32,20,1000,6.835584199870937e-05,1.0
32,21,1000,0.00013661331024195534,1.0
32,22,1000,0.00013105567936145236,1.0
32,23,1000,3.7653220566426174e-05,1.0
32,24,1000,6.434165711834793e-05,1.0
32,25,1000,6.307364699750906e-05,1.0
32,26,1000,3.1928330532537074e-05,1.0
32,27,1000,0.004357837995472437,0.9985
32,28,1000,1.622333166505996e-05,1.0
32,29,1000,3.604484150855569e-05,1.0
32,30,1000,1.408201682716026e-05,1.0
32,31,1000,3.460599956451915e-05,1.0
32,32,1000,8.211499173739868e-06,1.0
32,33,1000,1.7751509516529042e-05,1.0
32,34,1000,6.602464268326002e-05,1.0
32,35,1000,1.0771387237582531e-05,1.0
32,36,1000,1.0033958806161537e-05,1.0
32,37,1000,8.866148173183319e-06,1.0
32,38,1000,3.694391427006849e-05,1.0
32,39,1000,1.9544829740880233e-05,1.0
32,40,1000,1.4373492264439846e-05,1.0
32,41,1000,9.795413999017911e-05,1.0
32,42,1000,6.564300024183466e-05,1.0
32,43,1000,2.1764393528428628e-05,1.0
32,44,1000,7.72733642293133e-06,1.0
32,45,1000,1.838509684921519e-05,1.0
32,46,1000,4.2442013473191764e-05,1.0
32,47,1000,3.5717363246021706e-06,1.0
32,48,1000,1.0194784465056728e-05,1.0
32,49,1000,1.7365318076372204e-06,1.0
32,50,1000,0.41593886394705626,0.93625
64,1,1000,1.7675467199749417,0.28975
64,2,1000,1.3269838037944974,0.57375
64,3,1000,0.9240066541565789,0.7575
64,4,1000,0.6919325027200911,0.833
64,5,1000,0.750016260714758,0.79925
64,6,1000,0.3951191478778446,0.9045
64,7,1000,0.20284070334737264,0.94825
64,8,1000,0.10702289188546794,0.97575
64,9,1000,0.03663600384006425,0.99225
64,10,1000,0.06975907001585241,0.982
64,11,1000,0.09052020116221338,0.978
64,12,1000,0.05954482098154369,0.98075
64,13,1000,0.004216907355594375,0.99975
64,14,1000,0.0011162655529684373,1.0
64,15,1000,0.0008197731970410262,1.0
64,16,1000,0.0005637376783101538,1.0
64,17,1000,0.0004474201608294,1.0
64,18,1000,0.0008538082285436787,1.0
64,19,1000,0.0002757871979921465,1.0
64,20,1000,0.0004669322112772895,1.0
64,21,1000,0.0004221699269865418,1.0
64,22,1000,0.00011034230105689771,1.0
64,23,1000,0.00024100265970143178,1.0
64,24,1000,0.00019646192473980287,1.0
64,25,1000,0.0001859979289754789,1.0
64,26,1000,0.00015484498876575675,1.0
64,27,1000,6.358277950932952e-05,1.0
64,28,1000,0.1895910064128065,0.96475
64,29,1000,0.00014494440597084734,1.0
64,30,1000,0.0001092864757892029,1.0
64,31,1000,8.728859228583696e-05,1.0
64,32,1000,9.341186284025694e-05,1.0
64,33,1000,6.291965771182847e-05,1.0
64,34,1000,0.00012533620507123748,1.0
64,35,1000,6.658973059471925e-05,1.0
64,36,1000,2.239111590969269e-05,1.0
64,37,1000,4.7278583975091195e-05,1.0
64,38,1000,5.017543587619291e-05,1.0
64,39,1000,0.00010224772475859416,1.0
64,40,1000,3.656763504887561e-05,1.0
64,41,1000,6.62112786177738e-05,1.0
64,42,1000,3.604162942330789e-05,1.0
64,43,1000,3.6551354422420174e-05,1.0
64,44,1000,8.49055261405449e-06,1.0
64,45,1000,0.00010411477801209825,1.0
64,46,1000,1.5369762069086493e-05,1.0
64,47,1000,1.4706077583093522e-05,1.0
64,48,1000,4.522364486633922e-05,1.0
64,49,1000,3.335870824519098e-05,1.0
64,50,1000,1.1830713833299501e-05,1.0
128,1,1000,1.7320770733058453,0.34825
128,2,1000,1.332809790968895,0.59875
128,3,1000,0.9244571849703789,0.7535
128,4,1000,0.7739632502198219,0.80125
128,5,1000,0.5530722672119737,0.85975
128,6,1000,0.7657488938421011,0.76875
128,7,1000,0.5317156407982111,0.8705
128,8,1000,0.22919509559869766,0.94725
128,9,1000,0.17881934833712876,0.95675
128,10,1000,0.12767387041822076,0.97175
128,11,1000,0.0059977179480483755,1.0
128,12,1000,0.004615754907717928,1.0
128,13,1000,0.002646817152708536,1.0
128,14,1000,0.002067920308036264,1.0
128,15,1000,0.001646534588871873,1.0
128,16,1000,0.000887610629433766,1.0
128,17,1000,0.0009481267061346443,1.0
128,18,1000,0.0008070662197496858,1.0
128,19,1000,0.000508728881868592,1.0
128,20,1000,0.00039370148715534015,1.0
128,21,1000,0.0003203205701538536,1.0
128,22,1000,0.0002412838653071958,1.0
128,23,1000,0.00018956361327582272,1.0
128,24,1000,9.116593059843581e-05,1.0
128,25,1000,0.0027115943485114258,1.0
128,26,1000,4.922408737684236e-05,1.0
