subset,units,epoch,train_loss,train_accuracy
subset_1,1,1000,1.7653039991855621,0.30825
subset_1,2,1000,1.2678522318601608,0.6485
subset_1,3,1000,0.9540116004645824,0.75325
subset_1,4,1000,0.9337928369641304,0.7615
subset_1,5,1000,0.7090478464961052,0.82575
subset_1,6,1000,0.4212621599435806,0.89525
subset_1,7,1000,0.33940508775413036,0.9195
subset_1,8,1000,0.3933273497968912,0.902
subset_1,9,1000,0.21558315586298704,0.95225
subset_1,10,1000,0.07243503723293543,0.99125
subset_1,11,1000,0.04919732129201293,0.99375
subset_1,12,1000,0.0191020016791299,0.99825
subset_1,13,1000,0.0030096881382633,1.0
subset_1,14,1000,0.0042417447111802176,1.0
subset_1,15,1000,0.0023398277480737306,1.0
subset_1,16,1000,0.0757323713041842,0.975
subset_1,17,1000,0.0006416516371245962,1.0
subset_1,18,1000,0.0004154055768594844,1.0
subset_1,19,1000,0.00011788033862103475,1.0
subset_1,20,1000,0.0004346175974205835,1.0
subset_1,21,1000,0.0002640879465616308,1.0
subset_1,22,1000,7.159903543652035e-05,1.0
subset_1,23,1000,0.00025813698721322,1.0
subset_1,24,1000,0.00030927294665161753,1.0
subset_1,25,1000,3.569388354662806e-05,1.0
subset_1,26,1000,7.979279712344578e-05,1.0
subset_1,27,1000,0.0002556948675191961,1.0
subset_1,28,1000,0.00022608161543757888,1.0
subset_1,29,1000,9.51864124090207e-05,1.0
subset_1,30,1000,8.396363909923821e-05,1.0
subset_1,31,1000,0.00021405253755801823,1.0
subset_1,32,1000,1.1786620802922698e-05,1.0
subset_1,33,1000,0.00011154913499922259,1.0
subset_1,34,1000,0.00016299032449751394,1.0
subset_1,35,1000,0.00011049586260014621,1.0
subset_1,36,1000,1.2189571350518236e-05,1.0
subset_1,37,1000,0.0001914591048262082,1.0
subset_1,38,1000,4.885723637926276e-05,1.0
subset_1,39,1000,1.0868906770156173e-05,1.0
subset_1,40,1000,4.62487296317704e-05,1.0
subset_1,41,1000,6.606323722735397e-06,1.0
subset_1,42,1000,9.02993303952826e-06,1.0
subset_1,43,1000,0.00013543130853577168,1.0
subset_1,44,1000,6.562377109275985e-06,1.0
subset_1,45,1000,6.136652217492156e-06,1.0
subset_1,46,1000,5.197402103362947e-06,1.0
subset_1,47,1000,5.731513141427058e-06,1.0
subset_1,48,1000,5.345521913113771e-06,1.0
subset_1,49,1000,4.852624641671355e-06,1.0
subset_1,50,1000,4.588160066987257e-06,1.0
subset_1,60,1000,3.921435506981652e-05,1.0
subset_1,70,1000,2.3496980929849087e-06,1.0
subset_1,80,1000,2.4845952566465712e-05,1.0
subset_1,90,1000,1.6788213201834878e-06,1.0
subset_1,100,1000,6.842996583600325e-06,1.0
subset_1,110,1000,3.567189395425885e-06,1.0
subset_1,120,1000,1.262080772335139e-06,1.0
subset_1,130,1000,2.229500339012702e-06,1.0
subset_1,140,1000,4.416039203647415e-06,1.0
subset_1,150,1000,8.649627680767935e-07,1.0
subset_1,160,1000,8.907528545876175e-07,1.0
subset_1,170,1000,7.238104551277047e-07,1.0
subset_1,180,1000,6.855270520134127e-07,1.0
subset_1,190,1000,1.4925325118042565e-06,1.0
subset_1,200,1000,6.292057346257707e-07,1.0
subset_2,1,1000,1.8011078760027885,0.33825
subset_2,2,1000,1.8025095760822296,0.305
subset_2,3,1000,1.0333633236587048,0.66425
subset_2,4,1000,1.0368123948574066,0.7125
subset_2,5,1000,0.5683868788182735,0.86225
subset_2,6,1000,0.46873481571674347,0.87775
subset_2,7,1000,0.2966083586215973,0.9295
subset_2,8,1000,0.3446495346724987,0.9125
subset_2,9,1000,0.15479489136487246,0.96975
subset_2,10,1000,0.19103569444268942,0.95625
subset_2,11,1000,0.049287385772913694,0.99225
subset_2,12,1000,0.1186948656104505,0.97425
subset_2,13,1000,0.01789520331658423,0.99925
subset_2,14,1000,0.016682300018146634,0.99875
subset_2,15,1000,0.0046859550348017365,1.0
subset_2,16,1000,0.002186272758990526,1.0
subset_2,17,1000,0.0012018717388855293,1.0
subset_2,18,1000,0.0006032016972312704,1.0
subset_2,19,1000,0.0006092063686082838,1.0
subset_2,20,1000,0.0005341278119885828,1.0
subset_2,21,1000,0.0005668346493621357,1.0
