"┌────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: ResNet18 (PreActResNet, k=45)  |  dataset: CIFAR10 | data_augmentation: yes | noise: 0.2 | batch_size: 128 | learning_rate: default | epochs: 2000  │
└────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
45,1.0,1.8067,0.374,0.626
45,2.0,1.5574,0.4984,0.5016
45,3.0,1.4373,0.5589,0.44110000000000005
45,4.0,1.3564,0.5933,0.40669999999999995
45,5.0,1.2881,0.6236,0.37639999999999996
45,6.0,1.2341,0.6474,0.3526
45,7.0,1.194,0.6642,0.3358
45,8.0,1.1631,0.6762,0.3238
45,9.0,1.1323,0.6893,0.3107
45,10.0,1.1047,0.6991,0.30089999999999995
45,11.0,1.0823,0.7098,0.2902
45,12.0,1.059,0.7181,0.28190000000000004
45,13.0,1.0417,0.7244,0.27559999999999996
45,14.0,1.0227,0.7316,0.26839999999999997
45,15.0,1.0038,0.7368,0.2632
45,16.0,0.9908,0.7429,0.2571
45,17.0,0.9737,0.748,0.252
45,18.0,0.9577,0.7544,0.24560000000000004
45,19.0,0.9482,0.7553,0.24470000000000003
45,20.0,0.9324,0.7615,0.23850000000000005
45,21.0,0.9179,0.7659,0.23409999999999997
45,22.0,0.9009,0.7698,0.23019999999999996
45,23.0,0.89,0.7742,0.2258
45,24.0,0.8777,0.7763,0.2237
45,25.0,0.8611,0.7806,0.21940000000000004
45,26.0,0.8501,0.7835,0.21650000000000003
45,27.0,0.8345,0.7865,0.21350000000000002
45,28.0,0.8272,0.7883,0.2117
45,29.0,0.8123,0.7944,0.2056
45,30.0,0.8002,0.795,0.20499999999999996
45,31.0,0.782,0.801,0.19899999999999995
45,32.0,0.7681,0.803,0.19699999999999995
45,33.0,0.7564,0.8039,0.19610000000000005
45,34.0,0.7475,0.807,0.19299999999999995
45,35.0,0.7257,0.8121,0.18789999999999996
45,36.0,0.7154,0.8133,0.18669999999999998
45,37.0,0.6965,0.8168,0.18320000000000003
45,38.0,0.6905,0.8171,0.18289999999999995
45,39.0,0.6769,0.8198,0.18020000000000003
45,40.0,0.6593,0.8236,0.1764
45,41.0,0.6502,0.8253,0.17469999999999997
45,42.0,0.6289,0.8305,0.16949999999999998
45,43.0,0.6131,0.8315,0.16849999999999998
45,44.0,0.6038,0.8334,0.16659999999999997
45,45.0,0.5858,0.8382,0.16180000000000005
45,46.0,0.5731,0.8392,0.16080000000000005
45,47.0,0.5615,0.8417,0.1583
45,48.0,0.5461,0.8468,0.1532
45,49.0,0.5378,0.8466,0.15339999999999998
45,50.0,0.5193,0.851,0.14900000000000002
45,51.0,0.5087,0.8533,0.14670000000000005
45,52.0,0.4906,0.857,0.14300000000000002
45,53.0,0.4791,0.8596,0.14039999999999997
45,54.0,0.4714,0.8611,0.13890000000000002
45,55.0,0.4565,0.8637,0.13629999999999998
45,56.0,0.4461,0.8666,0.13339999999999996
45,57.0,0.4309,0.8701,0.12990000000000002
45,58.0,0.4182,0.8728,0.12719999999999998
45,59.0,0.4096,0.8761,0.12390000000000001
45,60.0,0.3994,0.8769,0.12309999999999999
45,61.0,0.3848,0.8793,0.12070000000000003
45,62.0,0.3759,0.8837,0.11629999999999996
45,63.0,0.3661,0.8864,0.11360000000000003
45,64.0,0.3625,0.8876,0.11240000000000006
45,65.0,0.349,0.8895,0.11050000000000004
45,66.0,0.3438,0.8909,0.10909999999999997
45,67.0,0.3336,0.8938,0.10619999999999996
45,68.0,0.3225,0.8965,0.10350000000000004
45,69.0,0.3169,0.899,0.10099999999999998
45,70.0,0.3041,0.9019,0.09809999999999997
45,71.0,0.2903,0.9057,0.09430000000000005
