"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: 2NN  |  dataset: MNIST(12000/1000) | data_augmentation: no | noise: 0.1 | batch_size: 256 | learning_rate: default | epochs: 1000  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epoch,train_loss,train_accuracy,train_error
1,1000,1.772045409425776,0.3709166666666667,0.6290833333333333
2,1000,1.3759320644622153,0.6134166666666667,0.3865833333333333
3,1000,1.0911139845848083,0.73075,0.26925
4,1000,0.8913640341860183,0.7934166666666667,0.2065833333333333
5,1000,0.8934443073069795,0.79325,0.20675
6,1000,0.705587350307627,0.8351666666666666,0.1648333333333334
7,1000,0.6659991455839035,0.8436666666666667,0.1563333333333333
8,1000,0.6256470680236816,0.8566666666666667,0.1433333333333333
9,1000,0.5867733023268111,0.8611666666666666,0.1388333333333333
10,1000,0.5230142074696561,0.87125,0.12875
11,1000,0.4784242878568933,0.886,0.1139999999999999
12,1000,0.4496005786226151,0.8891666666666667,0.1108333333333333
13,1000,0.3656718721415134,0.90825,0.09175
14,1000,0.3518887929459836,0.9063333333333332,0.0936666666666666
15,1000,0.2968706913450931,0.9253333333333332,0.0746666666666666
16,1000,0.2346068944068665,0.9443333333333334,0.0556666666666666
17,1000,0.2286234542410424,0.9409166666666666,0.0590833333333333
18,1000,0.1571801364263321,0.9589166666666666,0.0410833333333333
19,1000,0.195793423563876,0.9524166666666668,0.0475833333333333
20,1000,0.1301916070440982,0.9673333333333334,0.0326666666666666
21,1000,0.0826811539207367,0.983,0.017
22,1000,0.1057654226872515,0.9754166666666668,0.0245833333333332
23,1000,0.0216175062938573,0.9975833333333334,0.0024166666666666
24,1000,0.0284703877219494,0.9926666666666668,0.0073333333333333
25,1000,0.0118324456617553,0.9993333333333332,0.0006666666666667
26,1000,0.0774389830754792,0.9723333333333334,0.0276666666666666
27,1000,0.0142349994820641,0.9983333333333332,0.0016666666666667
28,1000,0.0046812128721478,1.0,0.0
29,1000,0.0020264201485452,1.0,0.0
30,1000,0.0041421747300773,0.99975,0.0002499999999999
31,1000,0.0024351328314143,1.0,0.0
32,1000,0.0015797068332718,1.0,0.0
33,1000,0.0025986830079729,0.9999166666666668,8.333333333332416e-05
34,1000,0.0014029340905216,1.0,0.0
35,1000,0.0013234007229255,1.0,0.0
36,1000,0.0017302770618388,0.9999166666666668,8.333333333332416e-05
37,1000,0.0011549318751736,1.0,0.0
38,1000,0.0010374436573561,1.0,0.0
39,1000,0.0014147160282517,1.0,0.0
40,1000,0.0008513717794483,1.0,0.0
41,1000,0.0008546438172182,1.0,0.0
42,1000,0.0006238887349064,1.0,0.0
43,1000,0.0007248402695775,1.0,0.0
44,1000,0.0004434325030083,1.0,0.0
45,1000,0.0079052631416298,0.998,0.002
46,1000,0.0003919131933721,1.0,0.0
47,1000,0.0004248391100616,1.0,0.0
48,1000,0.0004143930081169,1.0,0.0
49,1000,0.0005914002800598,1.0,0.0
50,1000,0.0002670223531164,1.0,0.0
51,1000,0.0003062569950533,1.0,0.0
52,1000,0.0003713442076448,1.0,0.0
53,1000,0.0002516080235859,1.0,0.0
54,1000,0.0003480685474177,1.0,0.0
55,1000,0.0002794616132419,1.0,0.0
56,1000,0.0001935766543264,1.0,0.0
57,1000,0.0002393552479569,1.0,0.0
58,1000,0.0004248979669856,1.0,0.0
59,1000,0.0002511657865475,1.0,0.0
60,1000,0.0004205772844564,1.0,0.0
61,1000,0.0001685683672165,1.0,0.0
62,1000,0.0002927441450896,1.0,0.0
63,1000,0.0001281999282853,1.0,0.0
64,1000,0.0002307624170962,1.0,0.0
65,1000,9.011739592174404e-05,1.0,0.0
66,1000,0.0001307324898934,1.0,0.0
67,1000,0.0001842514068405,1.0,0.0
68,1000,0.0001066042882194,1.0,0.0
69,1000,0.0001854876045786,1.0,0.0
70,1000,0.0002971527685579,1.0,0.0
71,1000,0.0001668009937659,1.0,0.0
72,1000,0.0001617742088088,1.0,0.0
73,1000,0.0001001093935864,1.0,0.0
74,1000,8.795288870695662e-05,1.0,0.0
75,1000,6.800042699088659e-05,1.0,0.0
76,1000,0.3644342244939601,0.933,0.0669999999999999
77,1000,8.257248787521483e-05,1.0,0.0
78,1000,0.0001914501270685,1.0,0.0
79,1000,0.0001166359468194,1.0,0.0
80,1000,0.0001805406232535,1.0,0.0
81,1000,0.0001993380422565,1.0,0.0
82,1000,6.736325760473537e-05,1.0,0.0
83,1000,9.50407205543362e-05,1.0,0.0
84,1000,0.0001285144594185,1.0,0.0
85,1000,0.0001078012058489,1.0,0.0
86,1000,7.070779224221119e-05,1.0,0.0
87,1000,6.590278482032405e-05,1.0,0.0
88,1000,7.315718830021921e-05,1.0,0.0
89,1000,0.0001183472537532,1.0,0.0
90,1000,0.0001021427151306,1.0,0.0
91,1000,6.158014900605888e-05,1.0,0.0
92,1000,4.637895427607718e-05,1.0,0.0
93,1000,9.684252577147724e-05,1.0,0.0
94,1000,5.7626295490487615e-05,1.0,0.0
95,1000,5.576162305821546e-05,1.0,0.0
96,1000,0.0005293612899704,1.0,0.0
97,1000,5.911711544266585e-05,1.0,0.0
98,1000,4.1111076302997313e-05,1.0,0.0
99,1000,8.323232070827717e-05,1.0,0.0
100,1000,9.765157239521516e-05,1.0,0.0
